,Site,Petri,Dateof,PetriDish,PaperFilter,PetriPlus,PetriDishPlus,PetridishPlus,FilterAndsample,SampleWeight,SampleWeight.1,Vol,Vol.1,mgL,mgL.1,Con,Temp,Level,pH,Date,,,
131,TCB,3886,"Nov.18,2003",1.0157,0.1048,1.1205,1.1336,1.1218,0.1061,13.1,1.3,350,,,,NA,NA,NA,NA,11/18/2003,,,
132,MPR,3887,"Nov.18,2003",1.0126,0.1055,1.1181,1.1212,1.1211,0.1085,3.1,3,500,,,,NA,NA,NA,NA,11/18/2003,,,
133,MG,3888,"Nov.18,2003",1.0083,0.1046,1.1129,1.1211,1.1195,0.1112,8.2,6.6,720,,,,NA,NA,NA,NA,11/18/2003,,,
134,RS,3889,"Nov.18,2003",1.0106,0.1027,1.1133,1.1187,1.1175,0.1069,5.4,4.2,700,,,,NA,NA,NA,NA,11/18/2003,,,
135,Q. Sonadora,3890,"Nov.18,2003",1.0133,0.102,1.1153,1.1177,1.1168,0.1035,2.4,1.5,740,,,,NA,NA,NA,NA,11/18/2003,,,
136,Q. Prieta,3891,"Nov.18,2003",1.013,0.1054,1.1184,1.1196,1.119,0.106,1.2,0.6,720,,,,NA,NA,NA,NA,11/18/2003,,,
137,Q. T1,3892,"Nov.18,2003",1.0117,0.1043,1.116,1.1203,1.1192,0.1075,4.3,3.2,740,,,,NA,NA,NA,NA,11/18/2003,,,
138,Q. Guabá,3894,"Nov.18,2003",1.0151,0.1014,1.1165,1.1375,1.1344,0.1193,21,17.9,200,,,,NA,NA,NA,NA,11/18/2003,,,
139,Q. Icacos,,,,,0,,,0,0,0,,,,,NA,NA,NA,NA,NA,,,
140,RES4,3893,"Nov.18,2003",1.0123,0.104,1.1163,1.1204,1.1199,0.1076,4.1,3.6,700,,,,NA,NA,NA,NA,11/18/2003,,,
141,RCEV,3896,"Nov.18,2003",1.0119,0.1048,1.1167,1.1162,1.1158,0.1039,-0.5,-0.9,840,,,,NA,NA,NA,NA,11/18/2003,,,
